name;cvc5-runtime;cvc5-result;z3-runtime;z3-result;z3-noodler-c0f3244-runtime;z3-noodler-c0f3244-result;z3-noodler-6e14cda-runtime;z3-noodler-6e14cda-result;z3-noodler-59658f7-runtime;z3-noodler-59658f7-result
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_110.smt2;0.08; sat;0.04; sat;0.05; sat;0.05; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_143.smt2;0.06; sat;0.02; sat;0.02; sat;0.02; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_171.smt2;0.02; sat;0.05; sat;0.03; sat;0.05; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_63.smt2;0.08; sat;0.48; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_79.smt2;0.08; sat;0.03; sat;0.03; sat;0.05; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_150.smt2;0.09; unsat;0.03; unsat;0.03; unsat;0.04; unsat;0.02; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_36.smt2;0.04; sat;0.06; sat;0.02; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_199.smt2;0.07; sat;0.07; sat;0.02; sat;0.04; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_86.smt2;0.04; unsat;0.02; unsat;0.01; unsat;0.03; unsat;0.03; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_184.smt2;0.11; unsat;0.03; unsat;0.03; unsat;0.05; unsat;0.03; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_84.smt2;0.04; sat;0.09; sat;0.02; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_89.smt2;0.11; sat;0.07; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_103.smt2;0.03; sat;0.02; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_147.smt2;0.03; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.01; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_1.smt2;0.01; sat;0.03; sat;0.01; sat;0.01; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_145.smt2;0.07; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.02; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_166.smt2;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_57.smt2;0.01; sat;0.03; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_70.smt2;0.03; sat;0.05; sat;0.04; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_172.smt2;0.18; sat;0.05; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_93.smt2;TO;TO;0.03; sat;4.39; sat;3.94; sat;3.85; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_104.smt2;0.02; sat;0.06; sat;0.02; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_176.smt2;0.04; sat;0.02; sat;0.01; sat;0.0; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_94.smt2;0.07; sat;0.05; sat;0.01; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_25.smt2;0.09; sat;0.05; sat;0.24; sat;0.26; sat;0.32; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_98.smt2;0.07; sat;0.04; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_39.smt2;0.04; sat;0.03; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_87.smt2;0.05; sat;0.01; sat;0.02; sat;0.06; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_45.smt2;0.06; sat;0.04; sat;0.03; sat;0.03; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_95.smt2;0.01; sat;0.04; sat;0.03; sat;0.02; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_189.smt2;0.02; sat;0.02; sat;0.02; sat;0.03; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_21.smt2;0.1; unsat;0.03; unsat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_155.smt2;0.04; sat;0.07; sat;0.04; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_175.smt2;0.05; sat;0.06; sat;0.04; sat;0.04; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_156.smt2;0.03; sat;0.08; sat;0.04; sat;0.03; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_99.smt2;0.07; unsat;0.04; unsat;0.04; unsat;0.03; unsat;0.01; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_17.smt2;0.0; sat;0.02; sat;0.03; sat;0.04; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_139.smt2;0.28; unsat;0.03; unsat;0.07; unsat;0.08; unsat;0.06; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_185.smt2;0.18; sat;0.02; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_137.smt2;0.07; sat;0.03; sat;0.02; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_196.smt2;0.06; sat;0.05; sat;0.08; sat;0.08; sat;0.07; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_149.smt2;0.04; sat;0.14; sat;0.04; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_8.smt2;0.04; unsat;0.03; unsat;0.03; unsat;0.02; unsat;0.02; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_165.smt2;0.02; sat;0.03; sat;0.04; sat;0.02; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_102.smt2;0.09; sat;0.06; sat;0.07; sat;0.06; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_32.smt2;0.05; sat;0.11; sat;0.03; sat;0.03; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_112.smt2;0.05; sat;0.08; sat;0.03; sat;0.03; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_59.smt2;0.04; sat;0.07; sat;0.04; sat;0.01; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_190.smt2;0.1; sat;0.03; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_69.smt2;0.04; sat;0.05; sat;0.07; sat;0.07; sat;0.06; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_144.smt2;0.02; sat;0.03; sat;0.03; sat;0.02; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_161.smt2;0.03; sat;0.43; sat;0.04; sat;0.03; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_91.smt2;0.09; sat;0.09; sat;2.05; sat;1.9; sat;0.1; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_180.smt2;0.04; sat;0.12; sat;0.03; sat;0.04; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_182.smt2;0.04; sat;0.07; sat;0.02; sat;0.06; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_142.smt2;0.03; sat;0.02; sat;0.01; sat;0.04; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_124.smt2;0.05; sat;0.07; sat;0.01; sat;0.03; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_148.smt2;0.01; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.02; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_140.smt2;0.02; sat;0.05; sat;0.03; sat;0.04; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_46.smt2;0.01; sat;0.06; sat;0.04; sat;0.04; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_27.smt2;0.03; sat;0.07; sat;0.05; sat;0.04; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_158.smt2;0.03; sat;0.04; sat;0.04; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_72.smt2;0.02; sat;0.04; sat;0.04; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_125.smt2;0.04; unsat;0.03; unsat;0.03; unsat;0.03; unsat;0.03; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_116.smt2;0.07; sat;0.12; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_23.smt2;0.05; sat;0.02; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_40.smt2;0.02; sat;0.05; sat;0.04; sat;0.04; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_7.smt2;0.09; sat;0.02; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_188.smt2;0.09; sat;0.02; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_121.smt2;0.02; sat;0.03; sat;0.04; sat;0.03; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_163.smt2;0.06; sat;0.02; sat;0.03; sat;0.03; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_200.smt2;0.03; sat;0.02; sat;0.03; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_62.smt2;0.01; sat;0.01; sat;0.01; sat;0.02; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_197.smt2;0.11; sat;0.03; sat;TO;TO;1.2; sat;1.21; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_173.smt2;0.12; sat;0.08; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_31.smt2;0.05; sat;0.06; sat;0.11; sat;0.1; sat;0.09; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_65.smt2;0.06; sat;0.07; sat;0.02; sat;0.04; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_26.smt2;0.02; unsat;0.02; unsat;0.03; unsat;0.03; unsat;0.03; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_169.smt2;0.08; sat;0.01; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_3.smt2;0.03; sat;0.02; sat;0.03; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_6.smt2;0.03; sat;0.02; sat;0.02; sat;0.01; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_122.smt2;0.06; sat;0.03; sat;1.73; sat;TO;TO;0.2; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_126.smt2;0.02; sat;0.02; sat;0.01; sat;0.04; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_33.smt2;0.05; sat;0.03; sat;0.04; sat;0.05; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_136.smt2;0.02; unsat;0.01; unsat;0.03; unsat;0.02; unsat;0.03; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_82.smt2;0.05; sat;0.06; sat;0.04; sat;0.05; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_152.smt2;0.02; sat;0.02; sat;0.04; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_96.smt2;0.05; sat;0.07; sat;0.1; sat;0.12; sat;0.09; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_48.smt2;0.09; sat;0.04; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_43.smt2;0.02; sat;0.03; sat;0.02; sat;0.03; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_106.smt2;0.07; sat;0.06; sat;TO;TO;TO;TO;6.87; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_159.smt2;0.09; sat;0.06; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_193.smt2;0.08; sat;0.07; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_75.smt2;0.06; sat;0.05; sat;0.25; sat;0.26; sat;0.24; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_130.smt2;0.04; sat;0.06; sat;0.02; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_4.smt2;0.11; sat;0.05; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_77.smt2;0.02; sat;0.05; sat;0.04; sat;0.05; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_10.smt2;0.08; sat;0.03; sat;0.06; sat;0.04; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_123.smt2;0.04; sat;0.04; sat;8.52; sat;7.21; sat;7.42; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_107.smt2;0.17; sat;0.07; sat;TO;TO;TO;TO;1.94; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_51.smt2;0.21; unsat;0.04; unsat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_71.smt2;0.07; sat;0.04; sat;TO;TO;TO;TO;ERR;ERR
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_38.smt2;0.04; sat;0.03; sat;0.04; sat;0.05; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_194.smt2;0.1; sat;0.46; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_167.smt2;0.08; sat;0.05; sat;0.02; sat;0.05; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_174.smt2;0.09; sat;0.04; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_90.smt2;0.02; sat;0.02; sat;0.03; sat;0.03; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_34.smt2;0.13; sat;0.05; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_53.smt2;0.04; unsat;0.1; unsat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_9.smt2;0.02; sat;0.05; sat;0.02; sat;0.04; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_28.smt2;0.05; sat;0.04; sat;0.06; sat;0.06; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_92.smt2;0.04; sat;0.06; sat;0.02; sat;0.05; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_74.smt2;0.04; sat;0.04; sat;0.03; sat;0.02; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_66.smt2;0.01; sat;0.03; sat;0.01; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_2.smt2;0.02; sat;0.04; sat;0.03; sat;0.04; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_97.smt2;0.06; sat;0.05; sat;0.03; sat;0.05; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_183.smt2;0.17; sat;0.07; sat;0.07; sat;0.07; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_88.smt2;0.03; sat;0.03; sat;0.06; sat;0.06; sat;0.07; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_5.smt2;0.08; sat;0.02; sat;0.06; sat;0.08; sat;0.07; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_146.smt2;0.01; sat;0.02; sat;0.02; sat;0.03; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_18.smt2;0.05; sat;0.04; sat;0.02; sat;0.05; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_153.smt2;0.09; sat;0.11; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_170.smt2;0.02; sat;0.06; sat;0.03; sat;0.05; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_138.smt2;0.06; sat;0.01; sat;0.03; sat;0.03; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_22.smt2;0.04; sat;0.04; sat;0.01; sat;0.04; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_12.smt2;0.07; sat;0.01; sat;27.13; sat;27.64; sat;25.76; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_127.smt2;0.02; sat;0.03; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_186.smt2;0.02; sat;0.04; sat;0.03; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_41.smt2;0.1; sat;0.19; sat;0.19; sat;0.19; sat;0.21; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_16.smt2;0.04; sat;0.02; sat;0.03; sat;0.05; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_187.smt2;0.08; sat;0.03; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_37.smt2;0.03; sat;0.04; sat;0.03; sat;0.03; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_47.smt2;0.02; unsat;0.01; unsat;0.02; unsat;0.03; unsat;0.02; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_177.smt2;0.11; unsat;0.02; unsat;0.03; unsat;0.01; unsat;0.01; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_134.smt2;0.07; sat;0.07; sat;2.73; sat;2.68; sat;2.68; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_105.smt2;0.03; sat;0.05; sat;0.03; sat;0.04; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_154.smt2;0.06; sat;0.1; sat;0.06; sat;0.05; sat;0.06; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_54.smt2;0.02; sat;0.02; sat;0.03; sat;0.03; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_76.smt2;0.06; sat;0.04; sat;0.03; sat;0.06; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_35.smt2;0.07; sat;0.1; sat;0.05; sat;0.05; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_60.smt2;0.02; sat;0.04; sat;0.04; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_133.smt2;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_30.smt2;0.04; sat;0.08; sat;0.29; sat;0.21; sat;0.25; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_195.smt2;0.09; sat;0.09; sat;0.09; sat;0.08; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_192.smt2;0.05; unsat;0.03; unsat;0.04; unsat;0.04; unsat;0.01; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_67.smt2;0.08; sat;0.04; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_131.smt2;0.03; sat;0.03; sat;0.04; sat;0.03; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_11.smt2;0.09; sat;0.03; sat;0.04; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_178.smt2;0.1; sat;0.03; sat;0.04; sat;0.03; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_129.smt2;0.03; sat;0.04; sat;0.01; sat;0.04; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_100.smt2;0.06; sat;0.05; sat;0.04; sat;0.03; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_24.smt2;0.04; sat;0.04; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_113.smt2;0.06; sat;0.07; sat;0.03; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_181.smt2;0.01; sat;0.04; sat;0.02; sat;0.04; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_101.smt2;0.05; sat;0.04; sat;0.03; sat;0.07; sat;0.06; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_58.smt2;0.04; sat;0.04; sat;0.04; sat;0.05; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_114.smt2;0.11; sat;0.05; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_42.smt2;0.04; sat;0.07; sat;0.04; sat;0.04; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_164.smt2;0.03; sat;0.03; sat;0.01; sat;0.04; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_117.smt2;0.07; sat;0.11; sat;1.48; sat;1.49; sat;1.47; sat
