name;z3-runtime;z3-result;cvc5-runtime;cvc5-result;z3-noodler-9f5e602-runtime;z3-noodler-9f5e602-result;z3str4-runtime;z3str4-result;z3strRE-runtime;z3strRE-result;ostrich-runtime;ostrich-result
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/evil2_inter_unsat.smt2;0.02; unsat;0.04; unsat;0.02; unsat;0.0; unsat;2.53; unsat;1.33; (error \\\"At line 11, near \\\"\\\") (_ char\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/comp1_inclusion_unsat.smt2;0.04; unsat;ERR;ERR;0.02; unknown;0.01; unsat;0.0; sat;2.26; sat
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/nestedloop2_unsat.smt2;0.02; unsat;0.0; unsat;0.02; unsat;0.0; unsat;0.0; unsat;2.41; unsat
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/inter_mod2_unsat.smt2;0.02; unsat;0.01; unsat;0.02; unsat;0.01; unsat;0.01; unsat;2.24; unsat
../formulae/regex-smt-benchmarks/boolean_and_loops/sat/evil1_eq_sat.smt2;0.02; sat;0.0; sat;0.02; unknown;0.0; sat;0.0; sat;2.38; sat
../formulae/regex-smt-benchmarks/boolean_and_loops/sat/nestedloop2_sat.smt2;0.02; sat;0.01; sat;0.02; sat;0.0; sat;0.0; sat;2.44; sat
../formulae/regex-smt-benchmarks/boolean_and_loops/sat/comp1_nonempty_trivial_sat.smt2;0.01; sat;0.0; sat;0.02; sat;0.01; sat;12.53; sat;2.41; sat
../formulae/regex-smt-benchmarks/boolean_and_loops/sat/evil2_sat.smt2;0.02; sat;0.01; sat;0.02; sat;0.01; sat;0.01; sat;1.34; (error \\\"At line 9, near \\\"\\\") (_ char\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/boolean_and_loops/sat/deadloop2_sat.smt2;0.01; sat;0.0; sat;0.02; sat;0.01; sat;0.0; sat;2.32; sat
../formulae/regex-smt-benchmarks/boolean_and_loops/sat/deadloop1_sat.smt2;0.02; sat;0.0; sat;0.01; sat;0.01; sat;0.0; sat;2.26; sat
../formulae/regex-smt-benchmarks/boolean_and_loops/sat/comp1_inclusion_sat.smt2;0.02; sat;ERR;ERR;0.01; unknown;0.01; sat;0.0; sat;2.32; sat
../formulae/regex-smt-benchmarks/date/unsat/contains_month_weekday_unsat.smt2;1.4; unsat;TO;TO;0.01; unsat;TO;TO;9.59; unsat;2.38; unsat
../formulae/regex-smt-benchmarks/date/unsat/date_minimal_fixed_unsat.smt2;0.15; unsat;0.08; unsat;0.04; unsat;0.17; unsat;18.56; unsat;2.38; unsat
../formulae/regex-smt-benchmarks/date/unsat/date_minimal_unsat.smt2;0.24; unsat;0.09; unsat;0.03; unsat;0.29; unsat;TO;TO;2.45; unsat
../formulae/regex-smt-benchmarks/date/unsat/contains_month_weekday_unsat_ignorecase.smt2;8.34; unsat;TO;TO;0.02; unsat;TO;TO;TO;TO;2.73; unsat
../formulae/regex-smt-benchmarks/date/unsat/date_inconsistent_format.smt2;0.03; unsat;TO;TO;0.02; unsat;0.12; unsat;0.01; unsat;2.73; unsat
../formulae/regex-smt-benchmarks/date/unsat/date_unsat.smt2;5.51; unsat;0.11; unsat;0.09; unsat;TO;TO;TO;TO;2.6; unsat
../formulae/regex-smt-benchmarks/date/sat/date2_sat.smt2;5.04; sat;TO;TO;0.11; sat;TO;TO;TO;TO;2.76; sat
../formulae/regex-smt-benchmarks/date/sat/date_minimal_sat.smt2;0.24; sat;TO;TO;0.03; sat;0.37; sat;55.24; sat;2.48; sat
../formulae/regex-smt-benchmarks/date/sat/contains_month_weekday_sat2.smt2;4.58; sat;0.2; sat;0.02; sat;5.88; sat;5.63; sat;2.54; sat
../formulae/regex-smt-benchmarks/date/sat/contains_month_weekday_sat_ignorecase.smt2;0.36; sat;TO;TO;0.03; sat;13.28; sat;12.15; sat;2.95; sat
../formulae/regex-smt-benchmarks/date/sat/date_format_days.smt2;0.07; sat;0.09; sat;0.03; sat;0.03; sat;0.0; sat;2.78; sat
../formulae/regex-smt-benchmarks/date/sat/date_format_days_months_complete.smt2;0.89; sat;TO;TO;0.4; sat;0.39; sat;6.47; sat;5.61; sat
../formulae/regex-smt-benchmarks/date/sat/contains_month_weekday_sat.smt2;0.09; sat;0.05; sat;0.02; sat;1.09; sat;0.16; sat;2.54; sat
../formulae/regex-smt-benchmarks/date/sat/date_format_days_months_complete_complement.smt2;0.18; sat;0.28; sat;7.77; sat;0.01; sat;TO;TO;4.04; sat
../formulae/regex-smt-benchmarks/date/sat/date_format_days_months_partial.smt2;0.21; sat;1.58; sat;0.03; sat;0.17; sat;1.0; sat;3.22; sat
../formulae/regex-smt-benchmarks/date/sat/date_policy1_implies_date_policy2.smt2;0.9; sat;TO;TO;0.71; sat;0.78; sat;TO;TO;5.44; sat
../formulae/regex-smt-benchmarks/date/sat/date_minimal_fixed_sat.smt2;0.12; sat;TO;TO;0.02; sat;0.19; sat;1.09; sat;2.15; sat
../formulae/regex-smt-benchmarks/date/sat/date1_sat.smt2;5.31; sat;TO;TO;0.08; sat;TO;TO;TO;TO;2.41; sat
../formulae/regex-smt-benchmarks/date/sat/contains_month_weekday_sat_9.smt2;2.02; sat;1.25; sat;0.03; sat;68.21; sat;78.93; sat;2.33; sat
../formulae/regex-smt-benchmarks/state_space/sat/diamond_chain_100.smt2;22.09; sat;0.1; sat;0.06; sat;1.06; sat;0.06; sat;2.49; sat
../formulae/regex-smt-benchmarks/state_space/sat/long_100.smt2;0.02; sat;0.0; sat;0.02; sat;0.1; sat;0.01; sat;3.39; sat
../formulae/regex-smt-benchmarks/state_space/sat/long_300.smt2;0.01; sat;0.01; sat;0.03; sat;0.68; sat;0.0; sat;4.43; sat
../formulae/regex-smt-benchmarks/state_space/sat/re_count_sat_hard.smt2;TO;TO;2.23; sat;TO;TO;TO;TO;TO;TO;6.12; sat
../formulae/regex-smt-benchmarks/state_space/sat/diamond_chain_30.smt2;0.87; sat;0.04; sat;0.03; sat;1.01; sat;0.0; sat;2.42; sat
../formulae/regex-smt-benchmarks/state_space/sat/inter_3_6_9.smt2;0.14; sat;0.02; sat;0.03; sat;17.67; sat;15.78; sat;2.73; sat
../formulae/regex-smt-benchmarks/state_space/sat/inter_star_10_10.smt2;0.06; sat;0.01; sat;0.03; sat;1.69; sat;0.7; sat;2.57; sat
../formulae/regex-smt-benchmarks/state_space/sat/diamond_chain_10.smt2;0.08; sat;0.01; sat;0.02; sat;0.26; sat;0.01; sat;2.45; sat
../formulae/regex-smt-benchmarks/state_space/sat/re_count_sat_medium.smt2;0.64; sat;0.0; sat;0.03; sat;1.0; sat;0.01; sat;2.56; sat
../formulae/regex-smt-benchmarks/state_space/sat/inter_30_60_90.smt2;TO;TO;0.17; sat;23.28; sat;101.55; unknown;94.04; unknown;TO;TO
../formulae/regex-smt-benchmarks/state_space/sat/inter_1_2_3.smt2;0.02; sat;0.01; sat;0.03; sat;0.01; sat;0.03; sat;2.38; sat
../formulae/regex-smt-benchmarks/state_space/sat/diamond_chain_3000.smt2;TO;TO;5.7; sat;64.54; sat;62.68; sat;TO;TO;3.75; sat
../formulae/regex-smt-benchmarks/state_space/sat/inter_star_100_100.smt2;43.57; sat;0.09; sat;0.34; sat;TO;TO;TO;TO;6.09; sat
../formulae/regex-smt-benchmarks/state_space/sat/inter_star_3_3.smt2;0.02; sat;0.01; sat;0.02; sat;0.01; sat;0.04; sat;2.49; sat
../formulae/regex-smt-benchmarks/state_space/sat/diamond_chain_1000.smt2;TO;TO;1.35; sat;5.89; sat;6.05; sat;9.96; sat;3.21; sat
../formulae/regex-smt-benchmarks/state_space/sat/long_10.smt2;0.01; sat;0.0; sat;0.02; sat;0.0; sat;0.0; sat;2.61; sat
../formulae/regex-smt-benchmarks/state_space/sat/long_30.smt2;0.03; sat;0.0; sat;0.02; sat;0.02; sat;0.0; sat;2.81; sat
../formulae/regex-smt-benchmarks/state_space/sat/re_count_sat_easy.smt2;0.04; sat;0.0; sat;0.02; sat;0.14; sat;0.01; sat;2.43; sat
../formulae/regex-smt-benchmarks/state_space/sat/inter_star_30_30.smt2;1.34; sat;0.03; sat;0.04; sat;22.56; sat;21.43; sat;3.12; sat
../formulae/regex-smt-benchmarks/state_space/sat/diamond_chain_300.smt2;TO;TO;0.31; sat;0.49; sat;1.5; sat;0.45; sat;2.78; sat
../formulae/regex-smt-benchmarks/state_space/sat/inter_10_20_30.smt2;27.17; sat;0.06; sat;0.39; sat;92.98; unknown;84.99; unknown;7.8; sat
../formulae/regex-smt-benchmarks/state_space/sat/long_3.smt2;0.01; sat;0.0; sat;0.02; sat;0.01; sat;0.0; sat;2.41; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_2_7.smt2;1.17; unsat;113.58; unsat;6.63; unsat;1.01; unknown;0.01; unknown;3.72; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_2_9.smt2;0.18; unsat;TO;TO;0.2; unsat;1.0; unknown;0.01; unknown;3.68; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_2_4.smt2;0.19; unsat;22.24; unsat;0.06; unsat;1.02; unknown;0.01; unknown;3.14; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_5_9.smt2;TO;TO;TO;TO;0.22; unsat;1.02; unknown;0.01; unknown;3.62; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_1_8.smt2;TO;TO;TO;TO;2.17; unsat;1.0; unknown;0.0; unknown;3.58; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_1_9.smt2;TO;TO;TO;TO;0.21; unsat;1.03; unknown;0.0; unknown;3.78; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_0_3.smt2;TO;TO;TO;TO;0.28; unsat;1.02; unknown;0.01; unknown;3.94; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_3_5.smt2;TO;TO;TO;TO;0.03; unsat;1.0; unknown;0.01; unknown;2.98; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_2_5.smt2;0.01; unsat;TO;TO;0.01; unsat;1.0; unknown;0.0; unknown;3.05; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_5_8.smt2;TO;TO;TO;TO;2.22; unsat;1.01; unknown;0.01; unknown;3.59; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_4_5.smt2;TO;TO;TO;TO;0.1; unsat;1.01; unknown;0.01; unknown;2.66; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_2_6.smt2;0.13; unsat;9.82; unsat;17.06; unsat;1.01; unknown;0.0; unknown;3.25; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_1_4.smt2;TO;TO;TO;TO;0.06; unsat;1.01; unknown;0.0; unknown;2.7; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_1_3.smt2;TO;TO;TO;TO;0.02; unsat;1.0; unknown;0.0; unknown;2.65; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_2_3.smt2;0.18; unsat;24.38; unsat;0.03; unsat;1.0; unknown;0.0; unknown;2.72; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_1_6.smt2;TO;TO;TO;TO;17.14; unsat;1.0; unknown;0.01; unknown;3.38; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_2_8.smt2;0.08; unsat;TO;TO;2.17; unsat;1.01; unknown;0.01; unknown;3.16; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_3_8.smt2;TO;TO;TO;TO;2.29; unsat;1.02; unknown;0.0; unknown;3.82; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_3_6.smt2;TO;TO;31.79; unsat;17.54; unsat;1.01; unknown;0.0; unknown;3.97; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_5_7.smt2;TO;TO;TO;TO;6.74; unsat;1.01; unknown;0.0; unknown;3.37; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_3_9.smt2;TO;TO;TO;TO;0.22; unsat;1.01; unknown;0.0; unknown;3.43; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_3_4.smt2;TO;TO;TO;TO;0.08; unsat;1.02; unknown;0.01; unknown;2.94; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_0_5.smt2;TO;TO;TO;TO;0.27; unsat;1.01; unknown;0.0; unknown;3.53; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_1_2.smt2;0.01; unsat;TO;TO;0.03; unsat;1.01; unknown;0.0; unknown;2.6; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_0_1.smt2;TO;TO;TO;TO;0.28; unsat;1.01; unknown;0.01; unknown;3.22; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_3_7.smt2;TO;TO;TO;TO;6.88; unsat;1.02; unknown;0.0; unknown;4.02; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_0_2.smt2;0.17; unsat;TO;TO;0.28; unsat;1.0; unknown;0.01; unknown;3.37; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_5_6.smt2;TO;TO;TO;TO;17.58; unsat;1.01; unknown;0.0; unknown;3.35; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/unsat/intersect_1_7.smt2;TO;TO;TO;TO;6.85; unsat;1.01; unknown;0.01; unknown;3.25; unsat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_4_7.smt2;0.28; sat;TO;TO;7.44; sat;1.0; unknown;0.01; unknown;5.78; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_3_3.smt2;0.07; sat;0.11; sat;0.03; sat;1.01; unknown;0.0; unknown;3.05; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_0_0.smt2;0.26; sat;0.39; sat;0.49; sat;1.02; unknown;0.01; unknown;4.73; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_4_9.smt2;0.12; sat;0.31; sat;0.26; sat;1.01; unknown;0.0; unknown;4.47; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_4_4.smt2;0.12; sat;0.08; sat;0.09; sat;1.01; unknown;0.0; unknown;3.23; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_4_8.smt2;0.24; sat;TO;TO;2.35; sat;1.01; unknown;0.01; unknown;4.0; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_0_9.smt2;0.16; sat;0.12; sat;0.52; sat;1.03; unknown;0.01; unknown;5.29; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_5_5.smt2;0.03; sat;0.04; sat;0.02; sat;1.0; unknown;0.01; unknown;2.72; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_4_6.smt2;0.24; sat;20.01; sat;17.89; sat;0.99; unknown;0.01; unknown;5.53; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_1_5.smt2;0.03; sat;0.07; sat;0.02; sat;1.02; unknown;0.01; unknown;2.8; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_6_6.smt2;0.59; sat;1.22; sat;TO;TO;1.01; unknown;0.01; unknown;5.89; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_8_8.smt2;0.12; sat;0.42; sat;TO;TO;1.01; unknown;0.01; unknown;76.32; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_0_7.smt2;0.64; sat;TO;TO;8.03; sat;1.01; unknown;0.01; unknown;7.07; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_0_8.smt2;0.16; sat;TO;TO;2.66; sat;1.01; unknown;0.0; unknown;4.87; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_7_8.smt2;0.11; sat;0.62; sat;59.75; sat;1.01; unknown;0.01; unknown;6.31; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_0_6.smt2;0.31; sat;7.49; sat;21.04; sat;1.02; unknown;0.01; unknown;7.19; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_7_7.smt2;0.63; sat;0.44; sat;TO;TO;1.0; unknown;0.01; unknown;5.95; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_2_2.smt2;0.02; sat;0.01; sat;0.01; sat;0.99; unknown;0.01; unknown;2.83; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_6_8.smt2;0.28; sat;1.11; sat;107.73; sat;1.01; unknown;0.0; unknown;9.5; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_7_9.smt2;0.74; sat;0.57; sat;10.52; sat;1.01; unknown;0.01; unknown;12.14; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_1_1.smt2;0.02; sat;0.09; sat;0.03; sat;1.02; unknown;0.01; unknown;2.76; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_9_9.smt2;0.19; sat;0.39; sat;0.4; sat;1.02; unknown;0.01; unknown;6.22; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_8_9.smt2;0.42; sat;1.17; sat;2.94; sat;1.02; unknown;0.0; unknown;9.57; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_0_4.smt2;0.29; sat;0.19; sat;0.32; sat;1.01; unknown;0.01; unknown;4.65; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_6_7.smt2;0.55; sat;1.42; sat;TO;TO;1.01; unknown;0.01; unknown;15.78; sat
../formulae/regex-smt-benchmarks/regexlib_intersection/sat/intersect_6_9.smt2;0.48; sat;1.16; sat;22.23; sat;1.01; unknown;0.02; unknown;12.51; sat
../formulae/regex-smt-benchmarks/password/unsat/passw_very_complex_6_7_unsat.smt2;TO;TO;TO;TO;1.28; unsat;TO;TO;TO;TO;1.31; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/unsat/passw_very_complex_3_4_unsat.smt2;2.87; unsat;16.3; unsat;0.17; unsat;TO;TO;TO;TO;1.35; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/unsat/passw_neq_unsat1.smt2;0.03; unsat;ERR;ERR;ERR;ERR;0.25; unsat;0.0; sat;2.39; sat
../formulae/regex-smt-benchmarks/password/unsat/passw_eq_unsat1.smt2;0.71; unknown;ERR;ERR;0.04; unknown;0.02; unsat;0.01; sat;2.43; sat
../formulae/regex-smt-benchmarks/password/unsat/passw_very_complex_2_4_unsat.smt2;4.02; unsat;35.46; unsat;0.27; unsat;TO;TO;TO;TO;1.45; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/unsat/passw_very_complex_1_7_unsat.smt2;TO;TO;TO;TO;1.62; unsat;TO;TO;TO;TO;1.26; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/unsat/passw_very_complex_2_7_unsat.smt2;TO;TO;TO;TO;1.54; unsat;TO;TO;TO;TO;1.19; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/unsat/passw_minimal2_unsat.smt2;0.01; unsat;0.01; unsat;0.01; unsat;0.0; unsat;0.0; unsat;2.03; unsat
../formulae/regex-smt-benchmarks/password/unsat/passw_unsat1.smt2;0.02; unsat;TO;TO;0.02; unsat;0.01; unsat;0.01; unsat;2.0; unsat
../formulae/regex-smt-benchmarks/password/unsat/passw_very_complex_5_7_unsat.smt2;TO;TO;TO;TO;1.32; unsat;TO;TO;TO;TO;1.29; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/unsat/passw_very_complex_3_7_unsat.smt2;TO;TO;TO;TO;1.53; unsat;TO;TO;TO;TO;1.25; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/unsat/passw_unsat3.smt2;0.08; unsat;4.57; unsat;0.03; unsat;0.08; unsat;39.94; unsat;2.09; unsat
../formulae/regex-smt-benchmarks/password/unsat/passw_very_complex_4_7_unsat.smt2;TO;TO;TO;TO;1.49; unsat;TO;TO;TO;TO;1.24; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/unsat/passw_minimal_unsat_neqversion.smt2;0.02; unsat;ERR;ERR;ERR;ERR;0.0; unsat;0.0; sat;2.12; sat
../formulae/regex-smt-benchmarks/password/unsat/passw_unsat2.smt2;0.02; unsat;0.01; unsat;0.02; unsat;0.0; unsat;0.01; unsat;2.01; unsat
../formulae/regex-smt-benchmarks/password/unsat/passw_minimal_unsat.smt2;0.02; unsat;0.01; unsat;0.02; unsat;0.0; unsat;0.0; unsat;2.11; unsat
../formulae/regex-smt-benchmarks/password/sat/passw_very_complex_8_12_sat.smt2;TO;TO;2.14; sat;8.25; sat;TO;TO;TO;TO;1.22; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/sat/passw_sat2.smt2;0.03; sat;0.42; sat;0.03; sat;0.02; sat;0.14; sat;2.06; sat
../formulae/regex-smt-benchmarks/password/sat/passw_complex_9_10_sat.smt2;56.31; sat;1.65; sat;1.11; sat;TO;TO;TO;TO;1.24; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/sat/passw_complex_5_10_sat.smt2;16.19; sat;1.36; sat;1.35; sat;TO;TO;TO;TO;1.24; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/sat/passw_minimal_sat.smt2;0.02; sat;ERR;ERR;0.02; unknown;0.01; sat;0.0; sat;2.18; sat
../formulae/regex-smt-benchmarks/password/sat/passw_very_complex_10_12_sat.smt2;TO;TO;2.01; sat;6.96; sat;TO;TO;TO;TO;1.27; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/sat/passw_very_complex_12_12_sat.smt2;TO;TO;2.22; sat;6.85; sat;TO;TO;TO;TO;1.26; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/sat/passw_sat3.smt2;0.25; sat;0.15; sat;0.21; sat;0.28; sat;TO;TO;2.5; sat
../formulae/regex-smt-benchmarks/password/sat/passw_very_complex_11_12_sat.smt2;TO;TO;2.12; sat;6.71; sat;TO;TO;TO;TO;1.22; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/sat/passw_eq_sat1.smt2;0.41; sat;ERR;ERR;0.02; unknown;0.16; sat;0.0; sat;2.11; sat
../formulae/regex-smt-benchmarks/password/sat/passw_complex_4_10_sat.smt2;0.64; sat;1.26; sat;1.47; sat;0.44; sat;TO;TO;1.24; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/sat/passw_sat4.smt2;0.11; sat;0.12; sat;0.07; sat;0.1; sat;9.03; sat;2.24; sat
../formulae/regex-smt-benchmarks/password/sat/passw_sat1.smt2;0.04; sat;0.46; sat;0.03; sat;0.02; sat;0.04; sat;2.06; sat
../formulae/regex-smt-benchmarks/password/sat/passw_complex_6_10_sat.smt2;34.8; sat;1.44; sat;1.24; sat;TO;TO;TO;TO;1.24; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/sat/passw_complex_8_10_sat.smt2;36.65; sat;1.55; sat;1.1; sat;TO;TO;TO;TO;1.21; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
../formulae/regex-smt-benchmarks/password/sat/passw_very_complex_9_12_sat.smt2;TO;TO;1.71; sat;7.64; sat;TO;TO;TO;TO;1.26; (error \\\"At line 15, near \\\"\\\") \\\"\\\"/\\\"\\\") (re\\\"\\\" :     Unrecoverable Syntax Error\\\")
