name;z3-noodler-f552b5f-d95fe13-runtime;z3-noodler-f552b5f-d95fe13-result;cvc5-1.1.2-runtime;cvc5-1.1.2-result;ostrich-e386836db-runtime;ostrich-e386836db-result;z3-4.13.0-runtime;z3-4.13.0-result;z3-noodler-b7b8ad5-d95fe13-runtime;z3-noodler-b7b8ad5-d95fe13-result;z3-noodler-59f141d-d95fe13-runtime;z3-noodler-59f141d-d95fe13-result;z3-noodler-0ce8a69-d95fe13-runtime;z3-noodler-0ce8a69-d95fe13-result;ostrich-1.4pre-runtime;ostrich-1.4pre-result;z3-alpha-smtcomp2024-runtime;z3-alpha-smtcomp2024-result;z3-noodler-4bcf006-d95fe13-runtime;z3-noodler-4bcf006-d95fe13-result;z3-noodler-69644b5-d95fe13-runtime;z3-noodler-69644b5-d95fe13-result
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1595.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.57; sat;0.01; unsupported###sat;0.01; sat;0.0; sat;0.01; sat;2.31; sat;0.05; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1568.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.66; sat;0.01; unsupported###sat;0.02; sat;0.01; sat;0.01; sat;2.37; sat;0.05; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1907.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.66; sat;0.01; unsupported###sat;0.01; sat;0.02; sat;0.01; sat;2.43; sat;0.04; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1598.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.68; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.0; sat;2.53; sat;0.03; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1567.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.66; sat;0.0; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.49; sat;0.05; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1574.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.7; sat;0.01; unsupported###sat;0.02; sat;0.01; sat;0.01; sat;2.48; sat;0.03; unsupported###sat;0.02; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1551.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.63; sat;0.02; unsupported###sat;0.01; sat;0.02; sat;0.01; sat;2.37; sat;0.05; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1572.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.53; sat;0.01; unsupported###sat;0.01; sat;0.02; sat;0.02; sat;2.43; sat;0.04; unsupported###sat;0.01; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1575.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.85; sat;0.01; unsupported###sat;0.02; sat;0.01; sat;0.01; sat;2.28; sat;0.03; unsupported###sat;0.01; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1997.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.67; sat;0.02; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.3; sat;0.05; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1884.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.6; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.0; sat;2.33; sat;0.04; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1909.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.57; sat;0.02; unsupported###sat;0.01; sat;0.02; sat;0.02; sat;2.56; sat;0.04; unsupported###sat;0.0; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2007.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.73; sat;0.01; unsupported###sat;0.0; sat;0.01; sat;0.01; sat;2.39; sat;0.04; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1553.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.6; sat;0.01; unsupported###sat;0.01; sat;0.02; sat;0.01; sat;2.65; sat;0.04; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2009.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.54; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.55; sat;0.04; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1589.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.73; sat;0.01; unsupported###sat;0.01; sat;0.02; sat;0.01; sat;2.35; sat;0.02; unsupported###sat;0.01; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1885.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.64; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.51; sat;0.04; unsupported###sat;0.0; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1576.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.83; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.52; sat;0.04; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1555.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.47; sat;0.0; unsupported###sat;0.01; sat;0.0; sat;0.01; sat;2.46; sat;0.03; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1911.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.68; sat;0.02; unsupported###sat;0.02; sat;0.01; sat;0.02; sat;2.35; sat;0.03; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1557.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.78; sat;0.01; unsupported###sat;0.01; sat;0.02; sat;0.01; sat;2.43; sat;0.04; unsupported###sat;0.01; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1637.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.73; sat;0.01; unsupported###sat;0.02; sat;0.01; sat;0.01; sat;2.45; sat;0.03; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1573.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.7; sat;0.01; unsupported###sat;0.01; sat;0.02; sat;0.02; sat;2.18; sat;0.06; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1627.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.79; sat;0.01; unsupported###sat;0.02; sat;0.01; sat;0.02; sat;2.45; sat;0.03; unsupported###sat;0.01; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1552.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.59; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.43; sat;0.03; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1597.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.62; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.02; sat;2.54; sat;0.05; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1590.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.58; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.02; sat;2.42; sat;0.05; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1554.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.68; sat;0.0; unsupported###sat;0.01; sat;0.01; sat;0.0; sat;2.54; sat;0.02; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1886.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.95; sat;0.01; unsupported###sat;0.03; sat;0.01; sat;0.02; sat;2.34; sat;0.04; unsupported###sat;0.01; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1556.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.75; sat;0.01; unsupported###sat;0.01; sat;0.02; sat;0.02; sat;2.46; sat;0.03; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1550.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.75; sat;0.02; unsupported###sat;0.01; sat;0.02; sat;0.02; sat;2.26; sat;0.03; unsupported###sat;0.02; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1628.corecstrs.readable.smt2;0.0; sat;0.0; sat;1.79; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.39; sat;0.04; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1910.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.67; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.61; sat;0.05; unsupported###sat;0.01; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1594.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.82; sat;0.02; unsupported###sat;0.02; sat;0.01; sat;0.0; sat;2.48; sat;0.03; unsupported###sat;0.02; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1626.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.69; sat;0.02; unsupported###sat;0.01; sat;0.02; sat;0.01; sat;2.58; sat;0.05; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1588.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.68; sat;0.01; unsupported###sat;0.01; sat;0.02; sat;0.02; sat;2.33; sat;0.03; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1596.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.55; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.0; sat;2.44; sat;0.03; unsupported###sat;0.0; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2008.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.62; sat;0.02; unsupported###sat;0.0; sat;0.02; sat;0.02; sat;2.52; sat;0.03; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1908.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.56; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.48; sat;0.03; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1634.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.69; sat;0.02; unsupported###sat;0.01; sat;0.0; sat;0.02; sat;2.4; sat;0.05; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/812.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.88; sat;0.01; unsupported###sat;0.01; sat;0.02; sat;0.01; sat;2.6; sat;0.04; unsupported###sat;0.01; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/846.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.75; sat;0.02; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.64; sat;0.04; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/820.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.89; sat;0.02; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.54; sat;0.05; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/823.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.97; sat;0.01; unsupported###sat;0.02; sat;0.01; sat;0.02; sat;2.58; sat;0.04; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/840.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.88; sat;0.01; unsupported###sat;0.01; sat;0.02; sat;0.01; sat;2.67; sat;0.03; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/822.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.79; sat;0.02; unsupported###sat;0.01; sat;0.02; sat;0.01; sat;2.76; sat;0.05; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/849.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.72; sat;0.02; unsupported###sat;0.01; sat;0.01; sat;0.02; sat;2.58; sat;0.03; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/825.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.71; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.02; sat;2.51; sat;0.04; unsupported###sat;0.01; sat;0.0; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/821.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.81; sat;0.0; unsupported###sat;0.02; sat;0.01; sat;0.01; sat;2.72; sat;0.04; unsupported###sat;0.02; sat;0.0; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/843.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.69; sat;0.03; unsupported###sat;0.01; sat;0.0; sat;0.01; sat;2.77; sat;0.03; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/811.corecstrs.readable.smt2;0.02; sat;0.0; sat;2.04; sat;0.02; unsupported###sat;0.01; sat;0.02; sat;0.01; sat;2.76; sat;0.03; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/838.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.84; sat;0.02; unsupported###sat;0.01; sat;0.01; sat;0.02; sat;2.76; sat;0.04; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/809.corecstrs.readable.smt2;0.02; sat;0.0; sat;2.01; sat;0.03; unsupported###sat;0.01; sat;0.02; sat;0.01; sat;2.63; sat;0.04; unsupported###sat;0.01; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/839.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.75; sat;0.0; unsupported###sat;0.02; sat;0.01; sat;0.01; sat;2.49; sat;0.06; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/827.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.79; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.52; sat;0.03; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/826.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.68; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.46; sat;0.04; unsupported###sat;0.01; sat;0.02; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/808.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.81; sat;0.01; unsupported###sat;0.02; sat;0.01; sat;0.02; sat;2.57; sat;0.04; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/851.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.81; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.42; sat;0.03; unsupported###sat;0.01; sat;0.0; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/824.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.69; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.0; sat;2.59; sat;0.03; unsupported###sat;0.01; sat;0.0; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/big/845.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.7; sat;0.01; unsupported###sat;0.0; sat;0.01; sat;0.0; sat;2.36; sat;0.03; unsupported###sat;0.02; sat;0.01; sat
