name;cvc5-runtime;cvc5-result;z3-runtime;z3-result;z3-noodler-c0f3244-runtime;z3-noodler-c0f3244-result;z3-noodler-f19ef57-runtime;z3-noodler-f19ef57-result;z3-noodler-6e14cda-runtime;z3-noodler-6e14cda-result;z3-noodler-c7c4418-runtime;z3-noodler-c7c4418-result;z3-noodler-b688a34-runtime;z3-noodler-b688a34-result;z3-noodler-97447b0-runtime;z3-noodler-97447b0-result
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-031-fuzz-reverse-multiply.smt2;0.21; sat;0.05; sat;0.01; unknown;0.02; unknown;0.02; unknown;0.01; unknown;0.02; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-010-graft-graft-graft.smt2;0.01; unsat;0.02; unsat;0.02; unsat;0.03; unsat;0.02; unsat;0.01; unsat;0.02; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-004-unsat-translate-graft-reverse.smt2;0.01; unsat;0.03; unsat;0.04; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.04; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-021-graft-fuzz-reverse.smt2;0.0; sat;0.03; sat;0.02; sat;0.04; sat;0.03; sat;0.03; sat;0.03; sat;0.02; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-012-unsat-translate-graft-reverse.smt2;0.01; unsat;0.02; unsat;0.02; unsat;0.04; unsat;0.02; unsat;0.03; unsat;0.03; unsat;0.02; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-001-graft-rotate-translate.smt2;0.0; unsat;0.02; unsat;0.04; unsat;0.03; unsat;0.01; unsat;0.02; unsat;0.01; unsat;0.02; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-021-rotate-translate-reverse.smt2;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat;0.04; sat;0.03; sat;0.01; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-014-graft-graft-translate.smt2;0.01; sat;0.02; sat;0.03; sat;0.02; sat;0.01; sat;0.02; sat;0.04; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-015-rotate-multiply-graft.smt2;0.01; unsat;0.03; unsat;0.03; unsat;0.01; unsat;0.04; unsat;0.03; unsat;0.02; unsat;0.02; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-017-rotate-fuzz-rotate.smt2;0.01; unsat;0.01; unsat;TO;TO;ERR;ERR;ERR;ERR;0.02; unsat;0.04; sat;0.02; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-016-graft-translate-translate.smt2;0.0; unsat;0.03; unsat;0.02; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.04; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-033-multiply-reverse-rotate.smt2;0.0; sat;0.02; sat;0.02; sat;0.03; sat;0.02; sat;0.03; sat;0.02; sat;0.02; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-016-rotate-fuzz-translate.smt2;0.01; unsat;0.01; unsat;TO;TO;0.02; unsat;0.02; unsat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-011-unsat-fuzz-fuzz.smt2;0.05; unsat;0.01; unsat;0.01; unknown;0.03; unknown;0.04; unknown;0.05; unknown;0.02; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-043-fuzz-translate-reverse.smt2;0.06; unsat;0.04; unsat;0.02; unknown;0.02; unknown;0.02; unknown;0.04; unknown;0.03; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-004-unsat-graft-reverse-reverse.smt2;0.01; unsat;0.01; unsat;0.04; unsat;0.03; unsat;0.04; unsat;0.02; unsat;0.02; unsat;0.04; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-020-reverse-translate-translate.smt2;0.05; sat;0.01; sat;0.05; sat;0.02; sat;0.03; sat;0.04; sat;0.05; sat;0.01; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-002-unsat-translate-fuzz.smt2;0.0; unsat;0.04; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.03; unsat;0.03; unsat;0.02; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-044-fuzz-fuzz-translate.smt2;0.01; unsat;0.01; unsat;0.03; unsat;0.01; unsat;0.01; unsat;0.0; unsat;0.02; unsat;0.02; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-001-graft-rotate-fuzz.smt2;0.01; unsat;0.02; unsat;0.03; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-026-rotate-fuzz-translate.smt2;0.01; sat;0.03; sat;0.04; sat;0.03; sat;0.03; sat;0.03; sat;0.03; sat;0.02; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-043-translate-fuzz.smt2;0.05; unsat;0.05; unsat;0.03; unknown;0.03; unknown;0.02; unknown;0.02; unknown;0.03; unknown;0.03; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-042-reverse-rotate-reverse.smt2;0.01; unsat;0.02; unsat;0.03; unsat;0.03; unsat;0.04; unsat;0.02; unsat;0.03; unsat;0.02; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-027-graft-multiply.smt2;0.0; unsat;0.02; unsat;0.04; unsat;0.02; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.02; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-015-fuzz-multiply-multiply.smt2;0.01; unsat;0.02; unsat;0.03; unknown;0.04; unknown;0.02; unknown;0.02; unknown;0.01; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-017-multiply-rotate-fuzz.smt2;0.17; unsat;0.1; unsat;0.03; unknown;0.01; unknown;0.02; unknown;0.04; unknown;0.02; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-025-fuzz-multiply-multiply.smt2;0.08; unsat;0.03; unsat;0.03; unknown;0.02; unknown;0.02; unknown;0.03; unknown;0.01; unknown;0.04; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-042-multiply-fuzz-translate.smt2;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-002-unsat-reverse-translate-reverse.smt2;0.0; unsat;0.01; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.01; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-049-fuzz-fuzz-multiply.smt2;0.06; unsat;0.01; unsat;0.03; unknown;0.02; unknown;0.01; unknown;0.02; unknown;0.01; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-026-multiply-translate.smt2;TO;TO;0.03; sat;0.03; sat;0.04; sat;0.03; sat;0.02; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-041-unsat-reverse-graft.smt2;0.0; unsat;0.01; unsat;0.02; unsat;0.03; unsat;0.03; unsat;0.04; unsat;0.03; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-019-unsat-translate-fuzz-multiply.smt2;0.01; sat;0.05; sat;0.03; sat;0.04; sat;0.04; sat;0.03; sat;0.01; sat;0.05; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-021-multiply-translate-fuzz.smt2;0.04; unsat;0.01; unsat;0.02; unknown;0.02; unknown;0.02; unknown;0.03; unknown;0.03; unknown;0.03; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-042-rotate-graft-translate.smt2;0.01; unsat;0.03; unsat;0.04; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.03; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-020-graft-translate-rotate.smt2;0.02; unsat;0.03; unsat;TO;TO;0.03; unsat;0.02; unsat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-017-rotate-multiply-translate.smt2;0.02; sat;0.04; sat;0.02; sat;0.05; sat;0.02; sat;0.01; sat;0.02; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-018-translate-multiply-translate.smt2;0.01; sat;0.02; sat;0.03; sat;0.01; sat;0.01; sat;0.03; sat;0.02; sat;0.04; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-005-unsat-translate-fuzz-translate.smt2;0.01; unsat;0.02; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.04; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-011-unsat-rotate-fuzz-rotate.smt2;0.04; unsat;0.02; unsat;0.03; unknown;0.01; unknown;0.02; unknown;0.03; unknown;0.02; unknown;0.05; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-010-graft-fuzz-fuzz.smt2;0.01; unsat;0.01; unsat;0.03; unsat;0.04; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.04; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-033-multiply-fuzz-rotate.smt2;0.02; sat;0.01; sat;0.03; sat;0.02; sat;0.04; sat;0.03; sat;0.02; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-020-multiply-graft.smt2;0.04; sat;0.03; sat;0.03; sat;0.03; sat;0.04; sat;0.04; sat;0.02; sat;0.02; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-041-unsat-translate-multiply.smt2;0.0; unsat;0.02; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.02; unsat;0.04; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-017-rotate.smt2;0.02; sat;0.03; sat;0.04; sat;0.02; sat;0.04; sat;0.03; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-016-translate-reverse-rotate.smt2;0.05; sat;0.04; sat;0.01; sat;0.03; sat;0.02; sat;0.01; sat;0.04; sat;0.04; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-006-graft-fuzz-rotate.smt2;0.0; unsat;0.01; unsat;0.04; unsat;0.02; unsat;0.03; unsat;0.04; unsat;0.02; unsat;0.04; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-004-unsat-fuzz-rotate-translate.smt2;0.0; unsat;0.01; unsat;0.03; unsat;0.02; unsat;0.02; unsat;0.03; unsat;0.03; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-027-translate-fuzz-fuzz.smt2;0.0; unsat;0.01; unsat;0.02; unsat;0.03; unsat;0.03; unsat;0.03; unsat;0.04; unsat;0.04; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-014-graft-translate-multiply.smt2;0.0; unsat;0.01; unsat;0.01; unsat;0.03; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-015-fuzz-graft-multiply.smt2;0.01; unsat;0.01; unsat;0.02; unknown;0.02; unknown;0.02; unknown;0.02; unknown;0.03; unknown;0.03; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-024-translate-fuzz-graft.smt2;0.01; sat;0.02; sat;0.03; sat;0.04; sat;0.01; sat;0.02; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-022-unsat-fuzz.smt2;0.01; unsat;0.01; unsat;0.03; unknown;0.01; unknown;0.02; unknown;0.02; unknown;0.02; unknown;0.03; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-033-reverse-fuzz-translate.smt2;0.02; sat;0.04; sat;0.02; unknown;0.01; unknown;0.02; unknown;0.02; unknown;0.03; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-034-reverse-reverse-fuzz.smt2;0.06; unsat;0.03; unsat;0.03; unknown;0.02; unknown;0.01; unknown;0.03; unknown;0.02; unknown;0.03; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-013-fuzz-graft.smt2;0.01; unsat;0.02; unsat;0.02; unknown;0.02; unknown;0.01; unknown;0.03; unknown;0.02; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-012-unsat-multiply-multiply-rotate.smt2;0.01; unsat;0.05; unsat;TO;TO;ERR;ERR;ERR;ERR;0.03; unsat;0.03; sat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-008-graft-fuzz-translate.smt2;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat;0.01; sat;0.03; sat;0.01; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-009-graft-translate-multiply.smt2;0.0; sat;0.02; sat;0.03; sat;0.02; sat;0.02; sat;0.04; sat;0.02; sat;0.04; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-008-translate-rotate-translate.smt2;0.0; sat;0.02; sat;0.03; sat;0.03; sat;0.01; sat;0.03; sat;0.02; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-026-graft.smt2;0.02; sat;0.01; sat;0.03; sat;0.06; sat;0.03; sat;0.04; sat;0.05; sat;0.05; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-004-unsat-fuzz-multiply-fuzz.smt2;0.01; unsat;0.02; unsat;0.01; unsat;0.02; unsat;0.02; unsat;0.03; unsat;0.03; unsat;0.02; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-011-unsat-reverse-graft-fuzz.smt2;0.0; unsat;0.02; unsat;0.02; unknown;0.02; unknown;0.01; unknown;0.02; unknown;0.02; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-026-reverse-fuzz-translate.smt2;0.03; unsat;0.02; unsat;0.01; unknown;0.02; unknown;0.01; unknown;0.01; unknown;0.03; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-043-translate-fuzz-rotate.smt2;0.05; unsat;0.01; unsat;0.02; unknown;0.02; unknown;0.01; unknown;0.02; unknown;0.03; unknown;0.03; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-003-fuzz-graft-translate.smt2;0.0; unsat;0.01; unsat;0.01; unsat;0.02; unsat;0.01; unsat;0.02; unsat;0.03; unsat;0.04; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-016-multiply-multiply-fuzz.smt2;0.01; unsat;0.03; unsat;TO;TO;0.02; unsat;0.02; unsat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-046-unsat-graft-fuzz-graft.smt2;0.01; sat;0.02; sat;0.02; unknown;0.01; unknown;0.02; unknown;0.03; unknown;0.03; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-014-graft-graft-multiply.smt2;0.01; sat;0.03; sat;0.04; sat;0.03; sat;0.02; sat;0.03; sat;0.02; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-044-fuzz-reverse-multiply.smt2;0.04; sat;0.05; sat;0.03; unknown;0.03; unknown;0.03; unknown;0.04; unknown;0.02; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-016-translate-reverse-fuzz.smt2;0.02; unsat;0.03; unsat;TO;TO;0.01; unsat;0.01; unsat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-012-unsat-translate-multiply-rotate.smt2;0.02; unsat;0.03; unsat;TO;TO;ERR;ERR;ERR;ERR;0.04; unsat;0.02; sat;0.04; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-026-multiply-graft-fuzz.smt2;0.07; sat;0.02; sat;0.03; unknown;0.02; unknown;0.02; unknown;0.02; unknown;0.02; unknown;0.03; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-041-unsat-translate-fuzz-graft.smt2;0.01; unsat;0.03; unsat;0.03; unsat;0.02; unsat;0.04; unsat;0.03; unsat;0.03; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-027-fuzz-rotate-graft.smt2;0.0; unsat;0.01; unsat;0.01; unknown;0.02; unknown;0.04; unknown;0.03; unknown;0.02; unknown;0.03; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-032-multiply-rotate.smt2;0.01; sat;0.02; sat;0.03; sat;0.03; sat;0.03; sat;0.03; sat;0.04; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-008-reverse-translate-reverse.smt2;0.01; sat;0.02; sat;0.03; sat;0.02; sat;0.02; sat;0.04; sat;0.04; sat;0.03; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-046-unsat-fuzz-reverse-fuzz.smt2;0.0; sat;0.02; sat;0.01; unknown;0.0; unknown;0.02; unknown;0.02; unknown;0.03; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-007-unsat-reverse-reverse-graft.smt2;0.0; unsat;0.02; unsat;0.02; unsat;0.03; unsat;0.01; unsat;0.03; unsat;0.04; unsat;0.03; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-043-translate-fuzz-translate.smt2;0.04; unsat;0.02; unsat;0.03; unknown;0.0; unknown;0.02; unknown;0.03; unknown;0.03; unknown;0.02; unknown
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-045-unsat-graft-rotate-fuzz.smt2;0.0; sat;0.03; sat;0.03; sat;0.02; sat;0.02; sat;0.03; sat;0.02; sat;0.02; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-017-graft-reverse-graft.smt2;0.01; unsat;0.02; unsat;TO;TO;ERR;ERR;ERR;ERR;0.03; unsat;0.04; sat;0.02; unsat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-021-reverse-fuzz.smt2;0.01; sat;0.03; sat;0.03; sat;0.01; sat;0.03; sat;0.05; sat;0.03; sat;0.04; sat
../formulae/QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-026-translate-graft-translate.smt2;0.02; sat;0.02; sat;0.03; sat;0.02; sat;0.02; sat;0.05; sat;0.04; sat;0.05; sat
